dep,hosp,rea,dc,dose1,dose2,dose3,age_0_19ans,age_20_39ans,age_40_59ans,age_60_74ans,age_75+,pop,non_vacc
01,4054,626,682,4752,295105,170191,168951,151533,180119,106335,55306,662244,192196
02,6107,842,1194,5704,252239,149417,129348,112998,134171,99937,49049,525503,118143
03,3296,369,637,2772,147496,113859,66796,61054,84516,72998,46381,331745,67618
04,1903,148,282,2401,66935,45487,33799,30380,43459,36404,21660,165702,50879
05,1947,284,281,2240,60748,42928,29287,26790,37351,30045,16549,140022,34106
06,10457,2403,1772,17239,451637,355010,230367,233672,282953,201842,140436,1089270,265384
07,3221,314,539,3362,135494,102454,70591,60665,87971,69485,39063,327775,86465
08,1890,253,410,2626,124018,81162,60304,55412,69862,52886,26635,265099,57293
09,806,177,113,2028,64917,43481,30614,28771,40440,33248,20042,153115,42689
10,2919,379,474,3187,132628,95636,74909,69588,77377,56892,31381,310147,78696
11,2360,344,429,4944,163297,110921,79585,71362,97971,82075,46726,377719,98557
12,1619,185,268,2882,125794,85114,55738,52006,71969,60612,38885,279210,65420
13,33800,6205,4310,30863,853897,543856,484488,485334,524450,346512,207611,2048395,619779
14,4024,810,664,7202,326529,231706,158984,156865,173069,132819,71102,692839,127402
15,873,189,148,1175,64851,50332,26761,25393,38126,33010,19990,143280,26922
16,1083,209,201,3654,168850,106026,71466,69457,90947,73980,43147,348997,70467
17,2355,384,405,7270,328339,205733,129456,119765,165798,150316,87139,652474,111132
18,2461,205,544,2943,132825,99948,61964,57630,76608,63791,36801,296794,61078
19,1482,246,252,2340,112050,75475,47524,44050,62012,53156,32329,239071,49206
21,5553,1103,997,5327,240069,164369,120672,127907,133504,96195,53748,532026,122261
22,1944,221,275,6552,285669,206863,131142,108824,153519,131379,74254,599118,100034
23,813,187,121,1361,48953,39278,20246,18915,29584,28928,16832,114505,24913
24,1724,255,288,5060,185576,132426,76472,70741,106527,98608,58382,410730,87668
25,3417,924,560,5088,245657,141075,133732,130745,136164,91136,51444,543221,151401
26,4778,787,886,5070,228428,146535,125320,110972,135233,96171,55426,523122,143089
27,2973,418,553,6196,288673,171933,149238,126659,159011,108628,51501,595037,128235
28,3996,789,570,4361,195312,135319,105995,89698,113130,77253,42102,428178,93186
29,1986,370,325,9009,448009,299682,200455,189967,238083,185156,100640,914301,157601
2A,965,200,143,2559,54899,52414,32727,33702,44921,31349,20054,162753,52881
2B,961,220,127,2857,59206,54959,38167,43027,48904,35445,20973,186516,69494
30,4781,1298,790,10077,333157,216766,170044,153439,195319,149855,82026,750683,190683
31,8020,2228,969,15609,675165,358808,341850,402577,363749,204334,112405,1424915,375333
32,844,88,121,2405,82898,65908,37857,32997,51127,42695,26711,191387,40176
33,8884,2075,1247,18097,807311,469295,384164,418227,430900,272774,148380,1654445,359742
34,8155,1907,1230,15266,539931,333919,273667,289355,296394,213559,123658,1196633,307517
35,5476,850,814,9942,557974,297313,275409,272511,281963,169911,94842,1094636,229407
36,1455,184,281,2113,104940,66228,42614,38904,55598,48938,30644,216698,43417
37,3337,681,564,5266,301764,180110,142563,137714,154383,110875,63873,609408,122268
38,11848,2269,1989,10343,610102,349736,320419,299963,333126,204515,113055,1271078,300897
39,2932,267,534,2777,113015,78468,56927,51282,68271,51389,30057,257926,63666
40,1464,215,278,4659,199322,140769,85853,78311,113136,89742,49783,416825,72075
41,2236,338,351,3194,155700,105610,72046,62090,84783,67146,40310,326375,61871
42,8706,1313,1503,5888,350422,215655,185587,167979,189864,137678,84175,765283,193318
