dep;jour;n_dose1;n_complet;n_rappel;n_cum_dose1;n_cum_complet;n_cum_rappel;couv_dose1;couv_complet;couv_rappel
01;2020-12-27;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-28;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-29;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-30;0;0;0;0;0;0;0.0;0.0;0.0
01;2020-12-31;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-01;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-02;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-03;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-04;0;0;0;0;0;0;0.0;0.0;0.0
01;2021-01-05;10;2;0;10;2;0;0.0;0.0;0.0
01;2021-01-06;21;0;0;31;2;0;0.0;0.0;0.0
01;2021-01-07;112;0;0;143;2;0;0.0;0.0;0.0
01;2021-01-08;234;1;0;377;3;0;0.1;0.0;0.0
01;2021-01-09;30;1;0;407;4;0;0.1;0.0;0.0
01;2021-01-10;0;0;0;407;4;0;0.1;0.0;0.0
01;2021-01-11;224;0;0;631;4;0;0.1;0.0;0.0
01;2021-01-12;408;1;0;1039;5;0;0.2;0.0;0.0
01;2021-01-13;534;1;0;1573;6;0;0.3;0.0;0.0
01;2021-01-14;637;6;0;2210;12;0;0.4;0.0;0.0
01;2021-01-15;536;5;0;2746;17;0;0.5;0.0;0.0
01;2021-01-16;222;0;0;2968;17;0;0.5;0.0;0.0
01;2021-01-17;127;0;0;3095;17;0;0.6;0.0;0.0
01;2021-01-18;529;5;0;3624;22;0;0.7;0.0;0.0
01;2021-01-19;1103;3;0;4727;25;0;0.9;0.0;0.0
01;2021-01-20;1348;5;0;6075;30;0;1.1;0.0;0.0
01;2021-01-21;1225;9;0;7300;39;0;1.3;0.0;0.0
01;2021-01-22;828;3;0;8128;42;0;1.5;0.0;0.0
01;2021-01-23;283;2;0;8411;44;0;1.5;0.0;0.0
01;2021-01-24;72;1;0;8483;45;0;1.5;0.0;0.0
01;2021-01-25;635;2;0;9118;47;0;1.6;0.0;0.0
01;2021-01-26;814;5;0;9932;52;0;1.8;0.0;0.0
01;2021-01-27;664;15;0;10596;67;0;1.9;0.0;0.0
01;2021-01-28;753;81;0;11349;148;0;2.0;0.0;0.0
01;2021-01-29;690;140;0;12039;288;0;2.2;0.1;0.0
01;2021-01-30;229;14;0;12268;302;0;2.2;0.1;0.0
01;2021-01-31;57;0;0;12325;302;0;2.2;0.1;0.0
01;2021-02-01;522;130;0;12847;432;0;2.3;0.1;0.0
01;2021-02-02;528;230;0;13375;662;0;2.4;0.1;0.0
01;2021-02-03;450;325;0;13825;987;0;2.5;0.2;0.0
01;2021-02-04;548;484;0;14373;1471;0;2.6;0.3;0.0
01;2021-02-05;472;337;0;14845;1808;0;2.7;0.3;0.0
01;2021-02-06;265;139;0;15110;1947;0;2.7;0.4;0.0
01;2021-02-07;6;103;0;15116;2050;0;2.7;0.4;0.0
01;2021-02-08;553;469;0;15669;2519;0;2.8;0.5;0.0
01;2021-02-09;810;907;0;16479;3426;0;3.0;0.6;0.0
01;2021-02-10;889;760;0;17368;4186;0;3.1;0.8;0.0
01;2021-02-11;852;881;0;18220;5067;0;3.3;0.9;0.0
01;2021-02-12;701;608;0;18921;5675;0;3.4;1.0;0.0
01;2021-02-13;201;175;0;19122;5850;0;3.4;1.1;0.0
01;2021-02-14;6;12;0;19128;5862;0;3.4;1.1;0.0
01;2021-02-15;447;534;0;19575;6396;0;3.5;1.2;0.0
01;2021-02-16;656;499;0;20231;6895;0;3.6;1.2;0.0
01;2021-02-17;534;390;0;20765;7285;0;3.7;1.3;0.0
01;2021-02-18;610;637;0;21375;7922;0;3.8;1.4;0.0
01;2021-02-19;601;331;0;21976;8253;0;4.0;1.5;0.0
01;2021-02-20;170;137;0;22146;8390;0;4.0;1.5;0.0
01;2021-02-21;2;0;0;22148;8390;0;4.0;1.5;0.0
01;2021-02-22;462;639;0;22610;9029;0;4.1;1.6;0.0
01;2021-02-23;484;667;0;23094;9696;0;4.2;1.7;0.0
01;2021-02-24;448;534;0;23542;10230;0;4.2;1.8;0.0
01;2021-02-25;838;690;0;24380;10920;0;4.4;2.0;0.0
01;2021-02-26;967;584;0;25347;11504;0;4.6;2.1;0.0
01;2021-02-27;449;111;0;25796;11615;0;4.6;2.1;0.0
01;2021-02-28;29;8;0;25825;11623;0;4.6;2.1;0.0
01;2021-03-01;651;504;0;26476;12127;0;4.8;2.2;0.0
01;2021-03-02;1065;590;0;27541;12717;0;5.0;2.3;0.0
01;2021-03-03;1071;669;0;28612;13386;0;5.1;2.4;0.0
01;2021-03-04;1380;664;0;29992;14050;0;5.4;2.5;0.0
01;2021-03-05;1518;549;0;31510;14599;0;5.7;2.6;0.0
01;2021-03-06;873;118;0;32383;14717;0;5.8;2.6;0.0
01;2021-03-07;97;3;0;32480;14720;0;5.8;2.6;0.0
01;2021-03-08;846;729;0;33326;15449;0;6.0;2.8;0.0
01;2021-03-09;1517;655;0;34843;16104;0;6.3;2.9;0.0
01;2021-03-10;1318;632;0;36161;16736;0;6.5;3.0;0.0
01;2021-03-11;1918;719;0;38079;17455;0;6.9;3.1;0.0
01;2021-03-12;2331;750;0;40410;18205;0;7.3;3.3;0.0
01;2021-03-13;1683;97;0;42093;18302;0;7.6;3.3;0.0
01;2021-03-14;280;59;0;42373;18361;0;7.6;3.3;0.0
01;2021-03-15;1278;473;0;43651;18834;0;7.9;3.4;0.0
01;2021-03-16;1224;557;0;44875;19391;0;8.1;3.5;0.0
01;2021-03-17;1110;361;0;45985;19752;0;8.3;3.6;0.0
01;2021-03-18;1491;551;0;47476;20303;0;8.5;3.7;0.0
01;2021-03-19;1890;582;0;49366;20885;0;8.9;3.8;0.0
01;2021-03-20;1448;109;0;50814;20994;0;9.1;3.8;0.0
01;2021-03-21;148;12;0;50962;21006;0;9.2;3.8;0.0
01;2021-03-22;1639;533;0;52601;21539;0;9.5;3.9;0.0
01;2021-03-23;2324;655;0;54925;22194;0;9.9;4.0;0.0
01;2021-03-24;1732;486;0;56657;22680;0;10.2;4.1;0.0
01;2021-03-25;3015;661;0;59672;23341;0;10.7;4.2;0.0
01;2021-03-26;3035;590;0;62707;23931;0;11.3;4.3;0.0
01;2021-03-27;1345;144;0;64052;24075;0;11.5;4.3;0.0
01;2021-03-28;79;9;0;64131;24084;0;11.5;4.3;0.0
01;2021-03-29;1932;648;0;66063;24732;0;11.9;4.4;0.0
01;2021-03-30;2539;830;0;68602;25562;0;12.3;4.6;0.0
01;2021-03-31;1970;808;0;70572;26370;0;12.7;4.7;0.0
01;2021-04-01;2718;944;0;73290;27314;0;13.2;4.9;0.0
01;2021-04-02;2920;835;0;76210;28149;0;13.7;5.1;0.0
01;2021-04-03;1356;215;0;77566;28364;0;14.0;5.1;0.0
01;2021-04-04;247;34;0;77813;28398;0;14.0;5.1;0.0
01;2021-04-05;1315;85;0;79128;28483;0;14.2;5.1;0.0
01;2021-04-06;2781;962;0;81909;29445;0;14.7;5.3;0.0
01;2021-04-07;2737;910;0;84646;30355;0;15.2;5.5;0.0
01;2021-04-08;3378;1203;0;88024;31558;0;15.8;5.7;0.0
01;2021-04-09;4031;1506;0;92055;33064;0;16.6;5.9;0.0
01;2021-04-10;1749;360;0;93804;33424;0;16.9;6.0;0.0
01;2021-04-11;156;109;0;93960;33533;0;16.9;6.0;0.0
01;2021-04-12;2728;1341;0;96688;34874;0;17.4;6.3;0.0
01;2021-04-13;2885;1548;0;99573;36422;0;17.9;6.6;0.0
01;2021-04-14;3035;1289;0;102608;37711;0;18.5;6.8;0.0
01;2021-04-15;3139;1551;0;105747;39262;0;19.0;7.1;0.0
01;2021-04-16;2980;1606;0;108727;40868;0;19.6;7.4;0.0
01;2021-04-17;1747;724;0;110474;41592;0;19.9;7.5;0.0
01;2021-04-18;166;61;0;110640;41653;0;19.9;7.5;0.0
01;2021-04-19;2240;1666;0;112880;43319;0;20.3;7.8;0.0
01;2021-04-20;2635;1668;0;115515;44987;0;20.8;8.1;0.0
01;2021-04-21;2724;1519;0;118239;46506;0;21.3;8.4;0.0
01;2021-04-22;2929;1768;0;121168;48274;0;21.8;8.7;0.0
01;2021-04-23;2859;1605;0;124027;49879;0;22.3;9.0;0.0
01;2021-04-24;1337;591;0;125364;50470;0;22.6;9.1;0.0
01;2021-04-25;142;30;0;125506;50500;0;22.6;9.1;0.0
01;2021-04-26;2113;1806;0;127619;52306;0;23.0;9.4;0.0
01;2021-04-27;2653;1656;0;130272;53962;0;23.4;9.7;0.0
01;2021-04-28;2643;1597;0;132915;55559;0;23.9;10.0;0.0
01;2021-04-29;2960;1884;0;135875;57443;0;24.4;10.3;0.0
01;2021-04-30;3278;2398;0;139153;59841;0;25.0;10.8;0.0
01;2021-05-01;1368;793;0;140521;60634;0;25.3;10.9;0.0
01;2021-05-02;673;297;0;141194;60931;0;25.4;11.0;0.0
01;2021-05-03;2572;2655;0;143766;63586;0;25.9;11.4;0.0
01;2021-05-04;2713;2813;0;146479;66399;0;26.4;11.9;0.0
01;2021-05-05;3080;2590;0;149559;68989;0;26.9;12.4;0.0
01;2021-05-06;3494;2734;0;153053;71723;0;27.5;12.9;0.0
01;2021-05-07;3629;2890;0;156682;74613;0;28.2;13.4;0.0
01;2021-05-08;1569;940;0;158251;75553;0;28.5;13.6;0.0
01;2021-05-09;1164;253;0;159415;75806;0;28.7;13.6;0.0
01;2021-05-10;2869;3073;0;162284;78879;0;29.2;14.2;0.0
01;2021-05-11;3992;3136;0;166276;82015;0;29.9;14.8;0.0
01;2021-05-12;4068;3121;0;170344;85136;0;30.6;15.3;0.0
01;2021-05-13;3540;1413;0;173884;86549;0;31.3;15.6;0.0
01;2021-05-14;4456;2403;0;178340;88952;0;32.1;16.0;0.0
01;2021-05-15;3040;1445;0;181380;90397;0;32.6;16.3;0.0
01;2021-05-16;1560;223;0;182940;90620;0;32.9;16.3;0.0
01;2021-05-17;3660;2589;0;186600;93209;0;33.6;16.8;0.0
01;2021-05-18;4286;2227;0;190886;95436;0;34.3;17.2;0.0
01;2021-05-19;4440;2069;0;195326;97505;0;35.1;17.5;0.0
01;2021-05-20;4563;2209;0;199889;99714;0;36.0;17.9;0.0
01;2021-05-21;4489;2379;0;204378;102093;0;36.8;18.4;0.0
01;2021-05-22;3198;1029;0;207576;103122;0;37.3;18.6;0.0
01;2021-05-23;1014;136;0;208590;103258;0;37.5;18.6;0.0
01;2021-05-24;2519;472;0;211109;103730;0;38.0;18.7;0.0
01;2021-05-25;3510;2565;0;214619;106295;0;38.6;19.1;0.0
01;2021-05-26;3619;2384;0;218238;108679;0;39.3;19.6;0.0
01;2021-05-27;3955;2334;0;222193;111013;0;40.0;20.0;0.0
01;2021-05-28;3726;2858;0;225919;113871;0;40.6;20.5;0.0
01;2021-05-29;2825;1525;0;228744;115396;0;41.2;20.8;0.0
01;2021-05-30;720;278;0;229464;115674;0;41.3;20.8;0.0
